Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
30,60,40,250,35,160,5,1,47.38,72,74,12
30,60,40,250,35,160,5,1,52.4,70,69,13
30,60,40,250,35,160,5,1,51.56,70,71,12
30,60,40,250,35,160,5,1,49.36,68,69,13
30,60,40,250,35,160,5,1,48.72,72,71,12
30,60,40,250,35,160,5,1,54.09,71,76,13
30,60,40,250,35,160,5,1,46.56,72,70,14
30,60,40,250,35,160,5,1,49.86,70,72,12
30,60,40,250,35,160,5,1,47.69,68,70,13
30,60,40,250,35,160,5,1,45.83,70,74,13
30,60,40,250,35,160,5,0,49.04,72,74,13
30,60,40,250,35,160,5,0,48.85,72,72,13
30,60,40,250,35,160,5,0,51.39,74,75,13
30,60,40,250,35,160,5,0,50.67,70,69,13
30,60,40,250,35,160,5,0,49.2,72,72,13
30,60,40,250,35,160,5,0,49.02,72,75,13
30,60,40,250,35,160,5,0,49.74,72,70,14
30,60,40,250,35,160,5,0,44.17,70,72,13
30,60,40,250,35,160,5,0,48.34,70,72,13
30,60,40,250,35,160,5,0,40.36,70,72,13
30,60,40,250,35,160,15,1,49.73,70,73,13
30,60,40,250,35,160,15,1,50.48,70,71,13
30,60,40,250,35,160,15,1,51.98,72,72,13
30,60,40,250,35,160,15,1,50.17,70,71,13
30,60,40,250,35,160,15,1,48.63,72,74,13
30,60,40,250,35,160,15,1,51.35,72,74,13
30,60,40,250,35,160,15,1,51.81,72,71,13
30,60,40,250,35,160,15,1,45.34,70,68,13
30,60,40,250,35,160,15,1,48.77,70,74,13
30,60,40,250,35,160,15,1,46.32,68,70,13
30,60,40,250,35,160,15,0,49.13,70,72,13
30,60,40,250,35,160,15,0,48.79,70,71,14
30,60,40,250,35,160,15,0,49.94,72,75,13
30,60,40,250,35,160,15,0,47.82,70,71,14
30,60,40,250,35,160,15,0,53.23,72,74,13
30,60,40,250,35,160,15,0,48.68,72,73,13
30,60,40,250,35,160,15,0,49.06,72,74,13
30,60,40,250,35,160,15,0,56.13,70,70,13
30,60,40,250,35,160,15,0,53.05,72,74,13
30,60,40,250,35,160,15,0,45.32,70,70,13
30,60,40,250,35,160,25,1,47.12,70,74,14
30,60,40,250,35,160,25,1,48.34,68,70,13
30,60,40,250,35,160,25,1,52.35,72,71,13
30,60,40,250,35,160,25,1,48.89,68,68,13
30,60,40,250,35,160,25,1,51.99,70,72,13
30,60,40,250,35,160,25,1,49.13,72,74,14
30,60,40,250,35,160,25,1,49.1,68,69,13
