No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version ,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) ,Ball-g
71,2,40,60,40,250,35,160,5,N,48.07,70,69,13,1
72,2,40,60,40,250,35,160,5,N,51.84,70,72,13,1
73,2,40,60,40,250,35,160,5,N,51.69,72,76,13,1
74,2,40,60,40,250,35,160,5,N,48.35,72,73,13,1
75,2,40,60,40,250,35,160,5,N,47.55,72,78,13,1
76,2,40,60,40,250,35,160,5,N,48.13,72,74,13,1
77,2,40,60,40,250,35,160,5,N,48.72,72,74,14,1
78,2,40,60,40,250,35,160,5,N,53.86,72,74,13,1
79,2,40,60,40,250,35,160,5,N,47.58,70,76,12,1
80,2,40,60,40,250,35,160,5,N,45.86,72,73,13,1
91,2,40,60,40,250,35,160,15,N,47.62,73,73,13,1
92,2,40,60,40,250,35,160,15,N,45.87,72,77,13,1
93,2,40,60,40,250,35,160,15,N,50.71,72,77,13,1
94,2,40,60,40,250,35,160,15,N,48.31,70,69,13,1
95,2,40,60,40,250,35,160,15,N,49.28,72,75,14,1
96,2,40,60,40,250,35,160,15,N,54.04,72,74,14,1
97,2,40,60,40,250,35,160,15,N,50.84,72,73,13,1
98,2,40,60,40,250,35,160,15,N,49.01,70,71,13,1
99,2,40,60,40,250,35,160,15,N,52.14,72,75,13,1
100,2,40,60,40,250,35,160,15,N,42.66,72,74,13,1
111,2,40,60,40,250,35,160,25,N,53.64,74,77,13,1
112,2,40,60,40,250,35,160,25,N,51.39,72,76,13,1
113,2,40,60,40,250,35,160,25,N,48.59,72,76,13,1
114,2,40,60,40,250,35,160,25,N,49.94,72,72,13,1
115,2,40,60,40,250,35,160,25,N,48.84,72,78,13,1
116,2,40,60,40,250,35,160,25,N,48.66,74,78,13,1
117,2,40,60,40,250,35,160,25,N,48.97,72,74,13,1
118,2,40,60,40,250,35,160,25,N,44.79,70,71,13,1
119,2,40,60,40,250,35,160,25,N,48,72,74,14,1
120,2,40,60,40,250,35,160,25,N,45.95,70,73,13,1
251,5,40,60,40,250,35,160,5,N,45.56,72,76,13,1
