No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version ,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) ,Ball-g
61,2,40,60,40,250,35,160,5,P,48.46,70,72,13,1
62,2,40,60,40,250,35,160,5,P,51.77,70,69,13,1
63,2,40,60,40,250,35,160,5,P,51.4,70,69,12,1
64,2,40,60,40,250,35,160,5,P,48.08,70,70,13,1
65,2,40,60,40,250,35,160,5,P,53.03,72,75,13,1
66,2,40,60,40,250,35,160,5,P,49.89,70,70,14,1
67,2,40,60,40,250,35,160,5,P,53.21,72,72,13,1
68,2,40,60,40,250,35,160,5,P,48.07,70,70,13,1
69,2,40,60,40,250,35,160,5,P,48.84,74,76,13,1
70,2,40,60,40,250,35,160,5,P,43.45,70,69,13,1
81,2,40,60,40,250,35,160,15,P,46.62,70,72,13,1
82,2,40,60,40,250,35,160,15,P,52.14,70,71,13,1
83,2,40,60,40,250,35,160,15,P,54,72,75,13,1
84,2,40,60,40,250,35,160,15,P,51.62,70,73,13,1
85,2,40,60,40,250,35,160,15,P,53.09,72,76,12,1
86,2,40,60,40,250,35,160,15,P,43.27,74,77,13,1
87,2,40,60,40,250,35,160,15,P,53.26,70,72,13,1
88,2,40,60,40,250,35,160,15,P,45.01,72,72,12,1
89,2,40,60,40,250,35,160,15,P,51.29,72,72,13,1
90,2,40,60,40,250,35,160,15,P,49.65,72,73,13,1
101,2,40,60,40,250,35,160,25,P,44.73,72,75,13,1
102,2,40,60,40,250,35,160,25,P,52.93,72,71,13,1
103,2,40,60,40,250,35,160,25,P,50.06,72,73,13,1
104,2,40,60,40,250,35,160,25,P,50.92,70,70,13,1
105,2,40,60,40,250,35,160,25,P,47.76,70,71,13,1
106,2,40,60,40,250,35,160,25,P,49.21,72,76,13,1
107,2,40,60,40,250,35,160,25,P,48.94,68,70,13,1
108,2,40,60,40,250,35,160,25,P,49.17,68,71,13,1
109,2,40,60,40,250,35,160,25,P,46.22,72,71,13,1
110,2,40,60,40,250,35,160,25,P,49.29,72,75,13,1
241,5,40,60,40,250,35,160,5,P,47.61,70,73,13,1
242,5,40,60,40,250,35,160,5,P,50.06,68,69,13,1
243,5,40,60,40,250,35,160,5,P,49.73,68,71,12,1
244,5,40,60,40,250,35,160,5,P,47.85,69,69,13,1
245,5,40,60,40,250,35,160,5,P,48.08,70,70,13,1
246,5,40,60,40,250,35,160,5,P,46.16,72,78,14,1
247,5,40,60,40,250,35,160,5,P,46.63,70,69,13,1
248,5,40,60,40,250,35,160,5,P,50.72,70,74,14,1
249,5,40,60,40,250,35,160,5,P,47.83,70,70,14,1
250,5,40,60,40,250,35,160,5,P,41.97,70,74,13,1
261,5,40,60,40,250,35,160,15,P,44.45,70,71,13,1
262,5,40,60,40,250,35,160,15,P,47.46,70,76,13,1
263,5,40,60,40,250,35,160,15,P,45.18,72,69,14,1
264,5,40,60,40,250,35,160,15,P,48.9,70,71,14,1
265,5,40,60,40,250,35,160,15,P,48.05,72,77,14,1
266,5,40,60,40,250,35,160,15,P,42.62,72,72,14,1
267,5,40,60,40,250,35,160,15,P,50.38,70,75,13,1
268,5,40,60,40,250,35,160,15,P,47.82,72,75,13,1
269,5,40,60,40,250,35,160,15,P,49.33,68,69,13,1
270,5,40,60,40,250,35,160,15,P,48.49,72,74,13,1
281,5,40,60,40,250,35,160,25,P,46.52,70,73,13,1
282,5,40,60,40,250,35,160,25,P,51.19,70,72,13,1
283,5,40,60,40,250,35,160,25,P,51.63,70,68,12,1
284,5,40,60,40,250,35,160,25,P,48.83,70,70,13,1
285,5,40,60,40,250,35,160,25,P,49.54,72,78,14,1
286,5,40,60,40,250,35,160,25,P,41.29,70,69,13,1
287,5,40,60,40,250,35,160,25,P,49.84,68,72,14,1
288,5,40,60,40,250,35,160,25,P,45,68,72,13,1
289,5,40,60,40,250,35,160,25,P,47.96,72,73,14,1
290,5,40,60,40,250,35,160,25,P,45.6,70,74,13,1
421,8,40,60,40,250,35,160,5,P,48.15,74,76,15,1
422,8,40,60,40,250,35,160,5,P,47.6,71,75,12,1
423,8,40,60,40,250,35,160,5,P,52.64,73,77,12,1
424,8,40,60,40,250,35,160,5,P,48.9,72,73,13,1
425,8,40,60,40,250,35,160,5,P,51.26,73,76,11,1
426,8,40,60,40,250,35,160,5,P,49.15,73,77,12,1
427,8,40,60,40,250,35,160,5,P,51.75,75,77,10,1
428,8,40,60,40,250,35,160,5,P,49.85,73,76,15,1
429,8,40,60,40,250,35,160,5,P,50.56,74,76,14,1
430,8,40,60,40,250,35,160,5,P,45.98,71,75,13,1
441,8,40,60,40,250,35,160,15,P,46.76,74,75,13,1
442,8,40,60,40,250,35,160,15,P,51.26,72,76,17,1
443,8,40,60,40,250,35,160,15,P,51.77,74,74,12,1
444,8,40,60,40,250,35,160,15,P,48.97,74,74,14,1
445,8,40,60,40,250,35,160,15,P,49.68,75,77,11,1
446,8,40,60,40,250,35,160,15,P,48.41,78,75,15,1
447,8,40,60,40,250,35,160,15,P,49.5,74,75,16,1
448,8,40,60,40,250,35,160,15,P,48.05,73,74,14,1
449,8,40,60,40,250,35,160,15,P,47.11,74,76,13,1
450,8,40,60,40,250,35,160,15,P,49.36,73,74,13,1
461,8,40,60,40,250,35,160,25,P,47.02,76,81,10,1
462,8,40,60,40,250,35,160,25,P,52.94,72,73,11,1
463,8,40,60,40,250,35,160,25,P,50.96,75,81,10,1
464,8,40,60,40,250,35,160,25,P,48.25,71,73,16,1
465,8,40,60,40,250,35,160,25,P,51.88,75,79,13,1
466,8,40,60,40,250,35,160,25,P,47.97,75,77,14,1
467,8,40,60,40,250,35,160,25,P,51.43,72,75,14,1
468,8,40,60,40,250,35,160,25,P,52.36,74,74,14,1
469,8,40,60,40,250,35,160,25,P,49.45,72,75,12,1
470,8,40,60,40,250,35,160,25,P,48.95,72,78,13,1
601,11,40,60,40,250,35,160,5,P,48.16,74,78,15,2
602,11,40,60,40,250,35,160,5,P,50.49,71,73,14,2
603,11,40,60,40,250,35,160,5,P,49.05,71,78,13,2
604,11,40,60,40,250,35,160,5,P,47.74,73,73,14,2
605,11,40,60,40,250,35,160,5,P,47.35,74,80,14,2
606,11,40,60,40,250,35,160,5,P,44.21,74,80,13,2
607,11,40,60,40,250,35,160,5,P,41.68,74,77,13,2
608,11,40,60,40,250,35,160,5,P,52.66,74,73,13,2
609,11,40,60,40,250,35,160,5,P,51.1,74,74,15,2
610,11,40,60,40,250,35,160,5,P,52.1,74,77,13,2
621,11,40,60,40,250,35,160,15,P,46.96,74,76,14,2
622,11,40,60,40,250,35,160,15,P,50.85,74,75,13,2
623,11,40,60,40,250,35,160,15,P,49.82,71,77,13,2
624,11,40,60,40,250,35,160,15,P,45.28,74,77,14,2
625,11,40,60,40,250,35,160,15,P,50.25,71,78,14,2
626,11,40,60,40,250,35,160,15,P,49.47,74,76,13,2
627,11,40,60,40,250,35,160,15,P,45.39,74,75,13,2
628,11,40,60,40,250,35,160,15,P,49.04,74,78,13,2
629,11,40,60,40,250,35,160,15,P,51.57,71,77,15,2
630,11,40,60,40,250,35,160,15,P,48.42,73,77,14,2
641,11,40,60,40,250,35,160,25,P,47.64,74,80,14,2
642,11,40,60,40,250,35,160,25,P,52.08,71,72,15,2
643,11,40,60,40,250,35,160,25,P,48.71,72,74,14,2
644,11,40,60,40,250,35,160,25,P,46.26,72,72,13,2
645,11,40,60,40,250,35,160,25,P,49.36,74,76,13,2
646,11,40,60,40,250,35,160,25,P,45.89,77,76,14,2
647,11,40,60,40,250,35,160,25,P,43.46,71,74,14,2
648,11,40,60,40,250,35,160,25,P,46.99,71,73,13,2
649,11,40,60,40,250,35,160,25,P,47.21,75,75,13,2
650,11,40,60,40,250,35,160,25,P,48.56,71,76,14,2
781,14,40,60,40,250,35,160,5,P,50.23,70,77,12,2
782,14,40,60,40,250,35,160,5,P,49.74,71,72,13,2
783,14,40,60,40,250,35,160,5,P,53.67,74,76,13,2
784,14,40,60,40,250,35,160,5,P,45.99,74,77,12,2
785,14,40,60,40,250,35,160,5,P,46.79,71,72,13,2
786,14,40,60,40,250,35,160,5,P,47.31,70,76,11,2
787,14,40,60,40,250,35,160,5,P,50.47,72,74,12,2
788,14,40,60,40,250,35,160,5,P,46.52,70,74,12,2
789,14,40,60,40,250,35,160,5,P,47.91,70,72,12,2
790,14,40,60,40,250,35,160,5,P,44.76,71,73,13,2
801,14,40,60,40,250,35,160,15,P,48.32,72,73,12,2
802,14,40,60,40,250,35,160,15,P,53.19,72,73,13,2
803,14,40,60,40,250,35,160,15,P,53.81,70,73,13,2
804,14,40,60,40,250,35,160,15,P,49.3,71,72,13,2
805,14,40,60,40,250,35,160,15,P,51.13,72,76,12,2
806,14,40,60,40,250,35,160,15,P,49.95,72,75,13,2
807,14,40,60,40,250,35,160,15,P,52.66,70,75,13,2
808,14,40,60,40,250,35,160,15,P,45.25,72,74,13,2
809,14,40,60,40,250,35,160,15,P,48.06,72,75,13,2
810,14,40,60,40,250,35,160,15,P,44.36,72,73,13,2
821,14,40,60,40,250,35,160,25,P,51.75,76,78,12,2
822,14,40,60,40,250,35,160,25,P,52.36,70,72,13,2
823,14,40,60,40,250,35,160,25,P,52.89,70,75,13,2
824,14,40,60,40,250,35,160,25,P,48.06,69,70,13,2
825,14,40,60,40,250,35,160,25,P,50.2,70,75,13,2
826,14,40,60,40,250,35,160,25,P,43.98,73,74,13,2
827,14,40,60,40,250,35,160,25,P,51.28,73,74,13,2
828,14,40,60,40,250,35,160,25,P,49.15,70,72,12,2
829,14,40,60,40,250,35,160,25,P,47.66,72,76,12,2
830,14,40,60,40,250,35,160,25,P,42.75,72,73,13,2
961,17,40,60,40,250,35,160,5,P,46.84,68,72,13,2
962,17,40,60,40,250,35,160,5,P,48.85,70,71,13,2
963,17,40,60,40,250,35,160,5,P,56.32,69,70,14,2
964,17,40,60,40,250,35,160,5,P,45.2,69,70,13,2
965,17,40,60,40,250,35,160,5,P,50.78,71,74,13,2
966,17,40,60,40,250,35,160,5,P,48.24,70,75,12,2
967,17,40,60,40,250,35,160,5,P,51.52,72,75,12,2
968,17,40,60,40,250,35,160,5,P,44.13,70,73,13,2
969,17,40,60,40,250,35,160,5,P,43.73,72,75,12,2
970,17,40,60,40,250,35,160,5,P,44.03,70,73,13,2
981,17,40,60,40,250,35,160,15,P,51.03,69,71,14,2
982,17,40,60,40,250,35,160,15,P,54.29,70,72,13,2
983,17,40,60,40,250,35,160,15,P,52.79,72,77,14,2
984,17,40,60,40,250,35,160,15,P,50.66,70,72,13,2
985,17,40,60,40,250,35,160,15,P,51.26,70,74,13,2
986,17,40,60,40,250,35,160,15,P,46.36,71,77,13,2
987,17,40,60,40,250,35,160,15,P,51.46,70,73,14,2
988,17,40,60,40,250,35,160,15,P,52.23,70,75,14,2
989,17,40,60,40,250,35,160,15,P,50.45,70,73,15,2
990,17,40,60,40,250,35,160,15,P,43.85,71,73,14,2
1001,17,40,60,40,250,35,160,25,P,50.61,71,74,14,2
1002,17,40,60,40,250,35,160,25,P,50.28,69,73,13,2
1003,17,40,60,40,250,35,160,25,P,54.84,73,75,13,2
1004,17,40,60,40,250,35,160,25,P,49.34,71,72,13,2
