No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,ball-Version ,推力數值,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
721,13,40,60,40,250,25,160,5,P,37.543,72,75,10
722,13,40,60,40,250,25,160,5,P,40.831,69,71,10
723,13,40,60,40,250,25,160,5,P,40.145,70,74,11
724,13,40,60,40,250,25,160,5,P,39.598,70,72,10
725,13,40,60,40,250,25,160,5,P,34.744,70,77,10
726,13,40,60,40,250,25,160,5,P,41.893,70,78,10
727,13,40,60,40,250,25,160,5,P,40.053,72,74,10
728,13,40,60,40,250,25,160,5,P,35.287,70,72,9
729,13,40,60,40,250,25,160,5,P,37.881,70,73,9
730,13,40,60,40,250,25,160,5,P,38.985,70,73,9
731,13,40,60,40,250,25,160,5,N,33.57,74,75,10
732,13,40,60,40,250,25,160,5,N,35.796,70,72,9
733,13,40,60,40,250,25,160,5,N,38.268,72,77,10
734,13,40,60,40,250,25,160,5,N,33.757,72,74,11
735,13,40,60,40,250,25,160,5,N,32.277,72,76,10
736,13,40,60,40,250,25,160,5,N,36.623,72,75,9
737,13,40,60,40,250,25,160,5,N,43.146,76,77,9
738,13,40,60,40,250,25,160,5,N,35.926,70,75,9
739,13,40,60,40,250,25,160,5,N,42.232,70,77,9
740,13,40,60,40,250,25,160,5,N,33.798,70,72,10
741,13,40,60,40,250,25,160,15,P,40.922,70,74,10
742,13,40,60,40,250,25,160,15,P,38.342,70,71,9
743,13,40,60,40,250,25,160,15,P,40.623,72,77,10
744,13,40,60,40,250,25,160,15,P,40.863,70,75,9
745,13,40,60,40,250,25,160,15,P,41.827,70,77,10
746,13,40,60,40,250,25,160,15,P,34.042,70,77,10
747,13,40,60,40,250,25,160,15,P,40.035,70,78,9
748,13,40,60,40,250,25,160,15,P,33.496,70,74,10
749,13,40,60,40,250,25,160,15,P,40.236,70,75,10
750,13,40,60,40,250,25,160,15,P,35.639,72,74,10
751,13,40,60,40,250,25,160,15,N,39.238,70,76,10
