No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,ball-Version ,推力數值,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
361,7,40,60,30,250,35,160,5,P,44.17,72,73,12
362,7,40,60,30,250,35,160,5,P,47.2,72,74,11
363,7,40,60,30,250,35,160,5,P,52.42,73,74,12
364,7,40,60,30,250,35,160,5,P,50.36,70,71,12
365,7,40,60,30,250,35,160,5,P,48.76,73,74,15
366,7,40,60,30,250,35,160,5,P,43.88,72,74,14
367,7,40,60,30,250,35,160,5,P,51.58,74,72,12
368,7,40,60,30,250,35,160,5,P,46.79,72,72,14
369,7,40,60,30,250,35,160,5,P,52.48,74,76,9
370,7,40,60,30,250,35,160,5,P,46.75,72,72,14
371,7,40,60,30,250,35,160,5,N,47.06,74,75,13
372,7,40,60,30,250,35,160,5,N,44.68,74,70,15
373,7,40,60,30,250,35,160,5,N,52.58,72,72,11
374,7,40,60,30,250,35,160,5,N,52.53,75,77,11
375,7,40,60,30,250,35,160,5,N,50.09,75,76,12
376,7,40,60,30,250,35,160,5,N,46.77,72,76,11
377,7,40,60,30,250,35,160,5,N,48.75,74,76,9
378,7,40,60,30,250,35,160,5,N,47.37,74,72,11
379,7,40,60,30,250,35,160,5,N,51.96,74,73,15
380,7,40,60,30,250,35,160,5,N,47.64,74,76,10
381,7,40,60,30,250,35,160,15,P,48.25,73,77,14
382,7,40,60,30,250,35,160,15,P,49.65,72,73,13
383,7,40,60,30,250,35,160,15,P,51.88,75,73,10
384,7,40,60,30,250,35,160,15,P,50.29,72,72,10
385,7,40,60,30,250,35,160,15,P,51.06,74,74,13
386,7,40,60,30,250,35,160,15,P,50.71,72,77,13
387,7,40,60,30,250,35,160,15,P,49.76,73,72,12
388,7,40,60,30,250,35,160,15,P,50.58,72,74,13
389,7,40,60,30,250,35,160,15,P,51.88,72,75,11
390,7,40,60,30,250,35,160,15,P,48.47,72,72,13
391,7,40,60,30,250,35,160,15,N,45.54,72,74,10
392,7,40,60,30,250,35,160,15,N,49.55,73,73,12
393,7,40,60,30,250,35,160,15,N,50.26,74,73,11
394,7,40,60,30,250,35,160,15,N,52.09,72,73,9
395,7,40,60,30,250,35,160,15,N,51.07,74,75,14
396,7,40,60,30,250,35,160,15,N,51.05,72,75,11
397,7,40,60,30,250,35,160,15,N,50.17,74,73,12
398,7,40,60,30,250,35,160,15,N,52.85,74,74,10
399,7,40,60,30,250,35,160,15,N,51.35,74,77,9
400,7,40,60,30,250,35,160,15,N,48.91,72,73,12
401,7,40,60,30,250,35,160,25,P,46.76,73,78,13
402,7,40,60,30,250,35,160,25,P,52.62,75,74,13
403,7,40,60,30,250,35,160,25,P,53.58,74,74,11
