No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,ball-Version ,推力數值,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
541,10,40,60,40,200,35,160,5,P,39.784,71,78,13
542,10,40,60,40,200,35,160,5,P,44.259,71,72,11
543,10,40,60,40,200,35,160,5,P,44.477,73,79,11
544,10,40,60,40,200,35,160,5,P,44.129,71,73,12
545,10,40,60,40,200,35,160,5,P,44.81,73,75,14
546,10,40,60,40,200,35,160,5,P,45.326,74,74,12
547,10,40,60,40,200,35,160,5,P,46.428,74,76,14
548,10,40,60,40,200,35,160,5,P,48.434,71,73,13
549,10,40,60,40,200,35,160,5,P,47.836,74,74,13
550,10,40,60,40,200,35,160,5,P,45.444,71,72,13
551,10,40,60,40,200,35,160,5,N,41.744,74,81,13
552,10,40,60,40,200,35,160,5,N,41.168,73,74,10
553,10,40,60,40,200,35,160,5,N,47.253,73,78,10
554,10,40,60,40,200,35,160,5,N,43.859,74,75,13
555,10,40,60,40,200,35,160,5,N,43.824,75,77,12
556,10,40,60,40,200,35,160,5,N,47.12,73,76,11
557,10,40,60,40,200,35,160,5,N,47.03,77,78,13
558,10,40,60,40,200,35,160,5,N,47.761,71,73,13
559,10,40,60,40,200,35,160,5,N,47.912,75,77,11
560,10,40,60,40,200,35,160,5,N,44.532,71,74,10
561,10,40,60,40,200,35,160,15,P,44.009,75,78,12
562,10,40,60,40,200,35,160,15,P,41.565,73,73,10
563,10,40,60,40,200,35,160,15,P,44.27,74,72,13
564,10,40,60,40,200,35,160,15,P,43.273,71,75,12
565,10,40,60,40,200,35,160,15,P,44.814,71,73,13
566,10,40,60,40,200,35,160,15,P,44.941,71,72,17
567,10,40,60,40,200,35,160,15,P,45.674,75,77,14
568,10,40,60,40,200,35,160,15,P,38.897,71,75,15
569,10,40,60,40,200,35,160,15,P,45.172,74,76,13
570,10,40,60,40,200,35,160,15,P,44.333,71,72,14
571,10,40,60,40,200,35,160,15,N,44.278,77,80,14
572,10,40,60,40,200,35,160,15,N,47.389,73,74,11
573,10,40,60,40,200,35,160,15,N,49.847,71,75,10
574,10,40,60,40,200,35,160,15,N,45.864,74,72,14
575,10,40,60,40,200,35,160,15,N,44.884,71,76,14
576,10,40,60,40,200,35,160,15,N,44.566,71,73,14
577,10,40,60,40,200,35,160,15,N,46.985,74,77,13
578,10,40,60,40,200,35,160,15,N,39.517,74,74,13
579,10,40,60,40,200,35,160,15,N,46.911,74,78,13
580,10,40,60,40,200,35,160,15,N,44.599,71,71,13
581,10,40,60,40,200,35,160,25,P,41.794,74,80,13
582,10,40,60,40,200,35,160,25,P,44.318,73,73,14
583,10,40,60,40,200,35,160,25,P,46.042,74,74,13
584,10,40,60,40,200,35,160,25,P,43.07,71,72,13
585,10,40,60,40,200,35,160,25,P,41.962,71,76,13
586,10,40,60,40,200,35,160,25,P,38.649,71,76,14
587,10,40,60,40,200,35,160,25,P,44.868,74,74,13
588,10,40,60,40,200,35,160,25,P,46.927,71,73,13
589,10,40,60,40,200,35,160,25,P,45.752,74,78,14
590,10,40,60,40,200,35,160,25,P,44.522,73,75,13
591,10,40,60,40,200,35,160,25,N,42.99,74,81,13
592,10,40,60,40,200,35,160,25,N,47.061,73,74,13
593,10,40,60,40,200,35,160,25,N,43.46,74,75,12
594,10,40,60,40,200,35,160,25,N,40.439,71,73,13
595,10,40,60,40,200,35,160,25,N,38.112,75,77,13
596,10,40,60,40,200,35,160,25,N,44.666,71,77,13
597,10,40,60,40,200,35,160,25,N,42.665,75,79,12
598,10,40,60,40,200,35,160,25,N,42.989,71,75,13
599,10,40,60,40,200,35,160,25,N,44.598,71,81,12
600,10,40,60,40,200,35,160,25,N,49.692,75,75,13
601,11,40,60,40,250,35,160,5,P,48.16,74,78,15
602,11,40,60,40,250,35,160,5,P,50.49,71,73,14
603,11,40,60,40,250,35,160,5,P,49.05,71,78,13
604,11,40,60,40,250,35,160,5,P,47.74,73,73,14
605,11,40,60,40,250,35,160,5,P,47.35,74,80,14
606,11,40,60,40,250,35,160,5,P,44.21,74,80,13
607,11,40,60,40,250,35,160,5,P,41.68,74,77,13
608,11,40,60,40,250,35,160,5,P,52.66,74,73,13
609,11,40,60,40,250,35,160,5,P,51.1,74,74,15
610,11,40,60,40,250,35,160,5,P,52.1,74,77,13
611,11,40,60,40,250,35,160,5,N,44.31,73,78,11
612,11,40,60,40,250,35,160,5,N,46.26,75,76,13
613,11,40,60,40,250,35,160,5,N,53.03,75,78,15
614,11,40,60,40,250,35,160,5,N,49.33,73,75,13
615,11,40,60,40,250,35,160,5,N,47.64,75,81,13
616,11,40,60,40,250,35,160,5,N,45.75,74,79,13
617,11,40,60,40,250,35,160,5,N,49.96,75,80,13
618,11,40,60,40,250,35,160,5,N,46.26,74,75,13
619,11,40,60,40,250,35,160,5,N,54.47,74,78,14
620,11,40,60,40,250,35,160,5,N,51.72,74,76,14
621,11,40,60,40,250,35,160,15,P,46.96,74,76,14
622,11,40,60,40,250,35,160,15,P,50.85,74,75,13
623,11,40,60,40,250,35,160,15,P,49.82,71,77,13
624,11,40,60,40,250,35,160,15,P,45.28,74,77,14
625,11,40,60,40,250,35,160,15,P,50.25,71,78,14
626,11,40,60,40,250,35,160,15,P,49.47,74,76,13
627,11,40,60,40,250,35,160,15,P,45.39,74,75,13
628,11,40,60,40,250,35,160,15,P,49.04,74,78,13
629,11,40,60,40,250,35,160,15,P,51.57,71,77,15
630,11,40,60,40,250,35,160,15,P,48.42,73,77,14
631,11,40,60,40,250,35,160,15,N,49.42,74,79,15
632,11,40,60,40,250,35,160,15,N,43.51,74,76,13
633,11,40,60,40,250,35,160,15,N,51.92,75,77,13
634,11,40,60,40,250,35,160,15,N,48.65,74,73,14
635,11,40,60,40,250,35,160,15,N,49.62,74,77,13
636,11,40,60,40,250,35,160,15,N,49.99,74,74,13
637,11,40,60,40,250,35,160,15,N,48.2,74,77,14
638,11,40,60,40,250,35,160,15,N,50.49,71,77,13
639,11,40,60,40,250,35,160,15,N,53.56,71,73,14
640,11,40,60,40,250,35,160,15,N,51.57,74,75,13
641,11,40,60,40,250,35,160,25,P,47.64,74,80,14
642,11,40,60,40,250,35,160,25,P,52.08,71,72,15
643,11,40,60,40,250,35,160,25,P,48.71,72,74,14
644,11,40,60,40,250,35,160,25,P,46.26,72,72,13
645,11,40,60,40,250,35,160,25,P,49.36,74,76,13
646,11,40,60,40,250,35,160,25,P,45.89,77,76,14
647,11,40,60,40,250,35,160,25,P,43.46,71,74,14
648,11,40,60,40,250,35,160,25,P,46.99,71,73,13
649,11,40,60,40,250,35,160,25,P,47.21,75,75,13
650,11,40,60,40,250,35,160,25,P,48.56,71,76,14
651,11,40,60,40,250,35,160,25,N,46.48,75,80,13
652,11,40,60,40,250,35,160,25,N,52.89,71,73,14
653,11,40,60,40,250,35,160,25,N,52.07,75,76,13
654,11,40,60,40,250,35,160,25,N,45.66,74,76,13
655,11,40,60,40,250,35,160,25,N,50.7,75,80,13
656,11,40,60,40,250,35,160,25,N,45.76,75,78,13
657,11,40,60,40,250,35,160,25,N,50.67,78,79,14
658,11,40,60,40,250,35,160,25,N,46.04,71,76,14
659,11,40,60,40,250,35,160,25,N,51.15,71,76,13
660,11,40,60,40,250,35,160,25,N,49.6,74,76,14
661,12,40,60,40,300,35,160,5,P,48.57,71,77,14
662,12,40,60,40,300,35,160,5,P,47.95,74,74,13
663,12,40,60,40,300,35,160,5,P,49.5,74,74,14
664,12,40,60,40,300,35,160,5,P,47.22,71,73,13
