No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,ball-Version ,推力數值,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
901,16,40,60,40,250,35,140,5,P,45.71,72,78,15
902,16,40,60,40,250,35,140,5,P,51.91,69,71,13
903,16,40,60,40,250,35,140,5,P,51.77,69,70,13
904,16,40,60,40,250,35,140,5,P,48.94,69,70,13
905,16,40,60,40,250,35,140,5,P,50.19,70,72,14
906,16,40,60,40,250,35,140,5,P,48.37,70,73,13
907,16,40,60,40,250,35,140,5,P,47.77,70,71,13
908,16,40,60,40,250,35,140,5,P,50.5,72,74,13
909,16,40,60,40,250,35,140,5,P,43.84,70,74,13
910,16,40,60,40,250,35,140,5,P,42.87,69,70,14
911,16,40,60,40,250,35,140,5,N,48.11,72,79,14
912,16,40,60,40,250,35,140,5,N,51.18,72,73,13
913,16,40,60,40,250,35,140,5,N,53.16,69,70,13
914,16,40,60,40,250,35,140,5,N,48.36,70,71,13
915,16,40,60,40,250,35,140,5,N,51.34,74,78,13
916,16,40,60,40,250,35,140,5,N,44.53,70,74,13
917,16,40,60,40,250,35,140,5,N,50,69,71,12
918,16,40,60,40,250,35,140,5,N,47.82,70,73,13
919,16,40,60,40,250,35,140,5,N,45.48,70,76,15
920,16,40,60,40,250,35,140,5,N,45.31,70,72,14
921,16,40,60,40,250,35,140,15,P,48.52,72,73,15
922,16,40,60,40,250,35,140,15,P,53.32,70,72,14
923,16,40,60,40,250,35,140,15,P,52.05,72,75,14
924,16,40,60,40,250,35,140,15,P,52.99,72,74,13
925,16,40,60,40,250,35,140,15,P,48.13,72,74,14
926,16,40,60,40,250,35,140,15,P,49.07,70,73,15
927,16,40,60,40,250,35,140,15,P,47.7,70,72,13
928,16,40,60,40,250,35,140,15,P,51.64,70,71,14
929,16,40,60,40,250,35,140,15,P,51.89,72,73,14
930,16,40,60,40,250,35,140,15,P,47.56,68,69,15
