No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,ball-Version ,推力數值,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
181,4,40,45,40,250,35,160,5,P,47.98,68,69,13
182,4,40,45,40,250,35,160,5,P,51.2,68,69,13
183,4,40,45,40,250,35,160,5,P,52.02,70,69,14
184,4,40,45,40,250,35,160,5,P,49.75,68,68,13
185,4,40,45,40,250,35,160,5,P,50.23,68,68,13
186,4,40,45,40,250,35,160,5,P,47.74,70,69,13
187,4,40,45,40,250,35,160,5,P,50.29,70,69,13
188,4,40,45,40,250,35,160,5,P,54.35,70,70,13
189,4,40,45,40,250,35,160,5,P,50.97,70,71,13
190,4,40,45,40,250,35,160,5,P,48.37,68,68,13
191,4,40,45,40,250,35,160,5,N,45.54,70,69,13
192,4,40,45,40,250,35,160,5,N,48.84,72,69,14
193,4,40,45,40,250,35,160,5,N,51.72,70,70,14
194,4,40,45,40,250,35,160,5,N,49.92,68,69,14
195,4,40,45,40,250,35,160,5,N,48.64,68,68,13
196,4,40,45,40,250,35,160,5,N,49.74,70,69,13
197,4,40,45,40,250,35,160,5,N,47.58,70,69,13
198,4,40,45,40,250,35,160,5,N,49.92,72,69,13
199,4,40,45,40,250,35,160,5,N,48.73,68,70,13
200,4,40,45,40,250,35,160,5,N,46.58,68,70,13
201,4,40,45,40,250,35,160,15,P,50.79,70,69,14
202,4,40,45,40,250,35,160,15,P,49.1,68,69,14
203,4,40,45,40,250,35,160,15,P,58.29,70,68,13
204,4,40,45,40,250,35,160,15,P,48.48,68,68,13
205,4,40,45,40,250,35,160,15,P,50.09,70,71,13
206,4,40,45,40,250,35,160,15,P,49.94,70,69,14
207,4,40,45,40,250,35,160,15,P,51.05,70,69,14
208,4,40,45,40,250,35,160,15,P,48.51,70,69,14
209,4,40,45,40,250,35,160,15,P,51.13,68,70,14
210,4,40,45,40,250,35,160,15,P,47.8,68,68,14
211,4,40,45,40,250,35,160,15,N,49.25,70,69,14
212,4,40,45,40,250,35,160,15,N,51.73,70,69,14
213,4,40,45,40,250,35,160,15,N,52.37,68,70,13
214,4,40,45,40,250,35,160,15,N,49.05,70,69,14
215,4,40,45,40,250,35,160,15,N,49.54,70,71,14
216,4,40,45,40,250,35,160,15,N,49.08,72,69,14
217,4,40,45,40,250,35,160,15,N,49.91,69,70,14
218,4,40,45,40,250,35,160,15,N,50.71,68,69,14
219,4,40,45,40,250,35,160,15,N,51.43,70,70,14
220,4,40,45,40,250,35,160,15,N,46.63,68,68,14
221,4,40,45,40,250,35,160,25,P,49.32,70,69,14
222,4,40,45,40,250,35,160,25,P,53.28,68,68,14
223,4,40,45,40,250,35,160,25,P,49.65,70,70,14
224,4,40,45,40,250,35,160,25,P,51.04,68,68,14
225,4,40,45,40,250,35,160,25,P,54.33,70,70,14
226,4,40,45,40,250,35,160,25,P,49.26,70,69,14
227,4,40,45,40,250,35,160,25,P,49.3,68,70,13
228,4,40,45,40,250,35,160,25,P,51.69,68,68,13
229,4,40,45,40,250,35,160,25,P,47.38,70,69,13
230,4,40,45,40,250,35,160,25,P,43.11,68,69,14
231,4,40,45,40,250,35,160,25,N,46.79,70,70,13
232,4,40,45,40,250,35,160,25,N,51.13,70,70,13
233,4,40,45,40,250,35,160,25,N,50.89,70,70,14
234,4,40,45,40,250,35,160,25,N,47.98,68,69,14
235,4,40,45,40,250,35,160,25,N,46.41,70,69,13
236,4,40,45,40,250,35,160,25,N,48.72,70,70,13
