No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,ball-Version ,推力數值,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
11,1,30,60,40,250,35,160,5,N,49.04,72,74,13
12,1,30,60,40,250,35,160,5,N,48.85,0.7,72,13
13,1,30,60,40,250,35,160,5,N,51.39,74,75,13
14,1,30,60,40,250,35,160,5,N,50.67,70,69,13
15,1,30,60,40,250,35,160,5,N,49.2,72,72,13
16,1,30,60,40,250,35,160,5,N,49.02,72,75,13
17,1,30,60,40,250,35,160,5,N,49.74,72,70,14
18,1,30,60,40,250,35,160,5,N,44.17,70,72,13
19,1,30,60,40,250,35,160,5,N,48.34,70,72,13
20,1,30,60,40,250,35,160,5,N,40.36,70,72,13
31,1,30,60,40,250,35,160,15,N,49.13,70,72,13
32,1,30,60,40,250,35,160,15,N,48.79,70,71,14
33,1,30,60,40,250,35,160,15,N,49.94,72,75,13
34,1,30,60,40,250,35,160,15,N,47.82,70,71,14
35,1,30,60,40,250,35,160,15,N,53.23,72,74,13
36,1,30,60,40,250,35,160,15,N,48.68,72,73,13
37,1,30,60,40,250,35,160,15,N,49.06,72,74,13
38,1,30,60,40,250,35,160,15,N,56.13,70,70,13
39,1,30,60,40,250,35,160,15,N,53.05,72,74,13
40,1,30,60,40,250,35,160,15,N,45.32,70,70,13
51,1,30,60,40,250,35,160,25,N,50.14,72,73,13
52,1,30,60,40,250,35,160,25,N,48.71,70,70,13
53,1,30,60,40,250,35,160,25,N,50.96,72,75,14
54,1,30,60,40,250,35,160,25,N,52.5,70,71,13
55,1,30,60,40,250,35,160,25,N,47.46,72,78,13
56,1,30,60,40,250,35,160,25,N,40.76,72,76,14
57,1,30,60,40,250,35,160,25,N,47.49,72,75,12
58,1,30,60,40,250,35,160,25,N,49.5,70,71,13
59,1,30,60,40,250,35,160,25,N,49.04,72,74,13
60,1,30,60,40,250,35,160,25,N,43.34,70,72,13
71,2,40,60,40,250,35,160,5,N,48.07,70,69,13
72,2,40,60,40,250,35,160,5,N,51.84,70,72,13
73,2,40,60,40,250,35,160,5,N,51.69,72,76,13
74,2,40,60,40,250,35,160,5,N,48.35,72,73,13
75,2,40,60,40,250,35,160,5,N,47.55,72,78,13
76,2,40,60,40,250,35,160,5,N,48.13,72,74,13
77,2,40,60,40,250,35,160,5,N,48.72,72,74,14
78,2,40,60,40,250,35,160,5,N,53.86,72,74,13
79,2,40,60,40,250,35,160,5,N,47.58,70,76,12
80,2,40,60,40,250,35,160,5,N,45.86,72,73,13
91,2,40,60,40,250,35,160,15,N,47.62,73,73,13
92,2,40,60,40,250,35,160,15,N,45.87,72,77,13
93,2,40,60,40,250,35,160,15,N,50.71,72,77,13
94,2,40,60,40,250,35,160,15,N,48.31,70,69,13
95,2,40,60,40,250,35,160,15,N,49.28,72,75,14
96,2,40,60,40,250,35,160,15,N,54.04,72,74,14
97,2,40,60,40,250,35,160,15,N,50.84,72,73,13
98,2,40,60,40,250,35,160,15,N,49.01,70,71,13
99,2,40,60,40,250,35,160,15,N,52.14,72,75,13
100,2,40,60,40,250,35,160,15,N,42.66,72,74,13
111,2,40,60,40,250,35,160,25,N,53.64,74,77,13
112,2,40,60,40,250,35,160,25,N,51.39,72,76,13
113,2,40,60,40,250,35,160,25,N,48.59,72,76,13
114,2,40,60,40,250,35,160,25,N,49.94,72,72,13
115,2,40,60,40,250,35,160,25,N,48.84,72,78,13
116,2,40,60,40,250,35,160,25,N,48.66,74,78,13
117,2,40,60,40,250,35,160,25,N,48.97,72,74,13
118,2,40,60,40,250,35,160,25,N,44.79,70,71,13
119,2,40,60,40,250,35,160,25,N,48,72,74,14
120,2,40,60,40,250,35,160,25,N,45.95,70,73,13
131,3,50,60,40,250,35,160,5,N,52.71,74,79,11
132,3,50,60,40,250,35,160,5,N,51.05,72,71,12
133,3,50,60,40,250,35,160,5,N,50.37,72,74,13
134,3,50,60,40,250,35,160,5,N,47.94,70,72,13
135,3,50,60,40,250,35,160,5,N,49.03,70,71,12
136,3,50,60,40,250,35,160,5,N,40.67,74,77,11
137,3,50,60,40,250,35,160,5,N,47.64,70,74,12
138,3,50,60,40,250,35,160,5,N,50.66,72,69,12
139,3,50,60,40,250,35,160,5,N,47.15,73,75,12
140,3,50,60,40,250,35,160,5,N,39.07,72,77,12
151,3,50,60,40,250,35,160,15,N,45.12,72,76,12
152,3,50,60,40,250,35,160,15,N,49.04,72,73,12
153,3,50,60,40,250,35,160,15,N,50.35,71,76,12
154,3,50,60,40,250,35,160,15,N,46.45,70,70,13
155,3,50,60,40,250,35,160,15,N,54.04,74,77,13
156,3,50,60,40,250,35,160,15,N,55.79,72,77,14
157,3,50,60,40,250,35,160,15,N,50.86,70,74,13
158,3,50,60,40,250,35,160,15,N,47.07,71,74,13
159,3,50,60,40,250,35,160,15,N,48.39,72,75,13
160,3,50,60,40,250,35,160,15,N,50.56,70,73,13
171,3,50,60,40,250,35,160,25,N,44.96,72,76,13
172,3,50,60,40,250,35,160,25,N,47.17,72,75,12
173,3,50,60,40,250,35,160,25,N,49.22,72,76,13
174,3,50,60,40,250,35,160,25,N,46.56,69,75,13
175,3,50,60,40,250,35,160,25,N,49.18,70,74,13
176,3,50,60,40,250,35,160,25,N,46.8,72,78,14
177,3,50,60,40,250,35,160,25,N,46.74,72,76,13
178,3,50,60,40,250,35,160,25,N,51.17,70,73,13
179,3,50,60,40,250,35,160,25,N,50.28,75,76,14
180,3,50,60,40,250,35,160,25,N,44.14,72,73,13
