No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version ,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
61,2,40,60,40,250,35,160,5,P,48.46,70,72,13
62,2,40,60,40,250,35,160,5,P,51.77,70,69,13
63,2,40,60,40,250,35,160,5,P,51.4,70,69,12
64,2,40,60,40,250,35,160,5,P,48.08,70,70,13
65,2,40,60,40,250,35,160,5,P,53.03,72,75,13
66,2,40,60,40,250,35,160,5,P,49.89,70,70,14
67,2,40,60,40,250,35,160,5,P,53.21,72,72,13
68,2,40,60,40,250,35,160,5,P,48.07,70,70,13
69,2,40,60,40,250,35,160,5,P,48.84,74,76,13
70,2,40,60,40,250,35,160,5,P,43.45,70,69,13
71,2,40,60,40,250,35,160,5,N,48.07,70,69,13
72,2,40,60,40,250,35,160,5,N,51.84,70,72,13
73,2,40,60,40,250,35,160,5,N,51.69,72,76,13
74,2,40,60,40,250,35,160,5,N,48.35,72,73,13
75,2,40,60,40,250,35,160,5,N,47.55,72,78,13
76,2,40,60,40,250,35,160,5,N,48.13,72,74,13
77,2,40,60,40,250,35,160,5,N,48.72,72,74,14
78,2,40,60,40,250,35,160,5,N,53.86,72,74,13
79,2,40,60,40,250,35,160,5,N,47.58,70,76,12
80,2,40,60,40,250,35,160,5,N,45.86,72,73,13
81,2,40,60,40,250,35,160,15,P,46.62,70,72,13
82,2,40,60,40,250,35,160,15,P,52.14,70,71,13
83,2,40,60,40,250,35,160,15,P,54,72,75,13
84,2,40,60,40,250,35,160,15,P,51.62,70,73,13
85,2,40,60,40,250,35,160,15,P,53.09,72,76,12
86,2,40,60,40,250,35,160,15,P,43.27,74,77,13
87,2,40,60,40,250,35,160,15,P,53.26,70,72,13
88,2,40,60,40,250,35,160,15,P,45.01,72,72,12
89,2,40,60,40,250,35,160,15,P,51.29,72,72,13
90,2,40,60,40,250,35,160,15,P,49.65,72,73,13
91,2,40,60,40,250,35,160,15,N,47.62,73,73,13
92,2,40,60,40,250,35,160,15,N,45.87,72,77,13
