No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version ,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
1,1,30,60,40,250,35,160,5,P,47.38,72,74,12
2,1,30,60,40,250,35,160,5,P,52.4,70,69,13
3,1,30,60,40,250,35,160,5,P,51.56,70,71,12
4,1,30,60,40,250,35,160,5,P,49.36,68,69,13
5,1,30,60,40,250,35,160,5,P,48.72,72,71,12
6,1,30,60,40,250,35,160,5,P,54.09,71,76,13
7,1,30,60,40,250,35,160,5,P,46.56,72,70,14
8,1,30,60,40,250,35,160,5,P,49.86,70,72,12
9,1,30,60,40,250,35,160,5,P,47.69,68,70,13
10,1,30,60,40,250,35,160,5,P,45.83,70,74,13
11,1,30,60,40,250,35,160,5,N,49.04,72,74,13
12,1,30,60,40,250,35,160,5,N,48.85,0.7,72,13
13,1,30,60,40,250,35,160,5,N,51.39,74,75,13
14,1,30,60,40,250,35,160,5,N,50.67,70,69,13
15,1,30,60,40,250,35,160,5,N,49.2,72,72,13
16,1,30,60,40,250,35,160,5,N,49.02,72,75,13
17,1,30,60,40,250,35,160,5,N,49.74,72,70,14
18,1,30,60,40,250,35,160,5,N,44.17,70,72,13
19,1,30,60,40,250,35,160,5,N,48.34,70,72,13
20,1,30,60,40,250,35,160,5,N,40.36,70,72,13
21,1,30,60,40,250,35,160,15,P,49.73,70,73,13
22,1,30,60,40,250,35,160,15,P,50.48,70,71,13
23,1,30,60,40,250,35,160,15,P,51.98,72,72,13
24,1,30,60,40,250,35,160,15,P,50.17,70,71,13
25,1,30,60,40,250,35,160,15,P,48.63,72,74,13
26,1,30,60,40,250,35,160,15,P,51.35,72,74,13
27,1,30,60,40,250,35,160,15,P,51.81,72,71,13
28,1,30,60,40,250,35,160,15,P,45.34,70,68,13
29,1,30,60,40,250,35,160,15,P,48.77,70,74,13
30,1,30,60,40,250,35,160,15,P,46.32,68,70,13
31,1,30,60,40,250,35,160,15,N,49.13,70,72,13
32,1,30,60,40,250,35,160,15,N,48.79,70,71,14
33,1,30,60,40,250,35,160,15,N,49.94,72,75,13
34,1,30,60,40,250,35,160,15,N,47.82,70,71,14
35,1,30,60,40,250,35,160,15,N,53.23,72,74,13
36,1,30,60,40,250,35,160,15,N,48.68,72,73,13
37,1,30,60,40,250,35,160,15,N,49.06,72,74,13
38,1,30,60,40,250,35,160,15,N,56.13,70,70,13
39,1,30,60,40,250,35,160,15,N,53.05,72,74,13
40,1,30,60,40,250,35,160,15,N,45.32,70,70,13
41,1,30,60,40,250,35,160,25,P,47.12,70,74,14
42,1,30,60,40,250,35,160,25,P,48.34,68,70,13
43,1,30,60,40,250,35,160,25,P,52.35,72,71,13
44,1,30,60,40,250,35,160,25,P,48.89,68,68,13
45,1,30,60,40,250,35,160,25,P,51.99,70,72,13
46,1,30,60,40,250,35,160,25,P,49.13,72,74,14
47,1,30,60,40,250,35,160,25,P,49.1,68,69,13
48,1,30,60,40,250,35,160,25,P,46.01,68,70,13
49,1,30,60,40,250,35,160,25,P,49.04,70,71,13
50,1,30,60,40,250,35,160,25,P,45.74,70,73,13
